event_id,title,artist_id,artist_name,city,venue,capacity,starts_at,weekday,is_residency,is_paid
ft_evt_0022,Doble Sentido — residencia jueves,ft_art_003,Doble Sentido,Medellín,La Pascasia,220,2026-07-30 20:00:00,jueves,true,true
ft_evt_0005,Mala Hora — residencia viernes,ft_art_001,Mala Hora,Bogotá,Casa E,220,2026-07-31 20:00:00,viernes,true,true
ft_evt_0040,Trasnoche Cali — residencia sábado,ft_art_005,Trasnoche Cali,Cali,Sala Beethoven,250,2026-08-01 20:00:00,sábado,true,true
ft_evt_0056,Roast de Medianoche — Sesión Doble,ft_art_009,Roast de Medianoche,Bogotá,Teatro Nacional Fanny Mikey,800,2026-08-04 20:00:00,martes,false,false
ft_evt_0014,Micrófono Suelto — residencia martes,ft_art_002,Micrófono Suelto,Bogotá,Ace of Clubs,150,2026-08-04 20:30:00,martes,true,true
ft_evt_0032,La Bodega Improvisa — residencia miércoles,ft_art_004,La Bodega Improvisa,Bogotá,La Bodega del Chiste,180,2026-08-05 20:30:00,miércoles,true,true
ft_evt_0052,Cuento Corto — Función Única,ft_art_007,Cuento Corto,Cartagena,Teatro Adolfo Mejía,1200,2026-08-05 21:30:00,miércoles,false,true
ft_evt_0060,Los del Fondo — Sesión Doble,ft_art_008,Los del Fondo,Cali,Teatro Jorge Isaacs,800,2026-08-06 19:30:00,jueves,false,true
ft_evt_0023,Doble Sentido — residencia jueves,ft_art_003,Doble Sentido,Medellín,La Pascasia,150,2026-08-06 20:30:00,jueves,true,false
ft_evt_0050,Los del Fondo — Especial de Improvisación,ft_art_008,Los del Fondo,Cali,Teatro Jorge Isaacs,1200,2026-08-06 21:00:00,jueves,false,true
ft_evt_0006,Mala Hora — residencia viernes,ft_art_001,Mala Hora,Bogotá,Casa E,180,2026-08-07 20:00:00,viernes,true,true
ft_evt_0054,Sin Filtro — Material Nuevo,ft_art_006,Sin Filtro,Bogotá,Teatro Nacional Fanny Mikey,250,2026-08-07 21:00:00,viernes,false,true
ft_evt_0041,Trasnoche Cali — residencia sábado,ft_art_005,Trasnoche Cali,Cali,Sala Beethoven,180,2026-08-08 20:30:00,sábado,true,true
ft_evt_0046,Cuento Corto — Comedia sin Red,ft_art_007,Cuento Corto,Medellín,La Pascasia,600,2026-08-10 19:00:00,lunes,false,true
ft_evt_0015,Micrófono Suelto — residencia martes,ft_art_002,Micrófono Suelto,Bogotá,Ace of Clubs,220,2026-08-11 20:00:00,martes,true,false
ft_evt_0033,La Bodega Improvisa — residencia miércoles,ft_art_004,La Bodega Improvisa,Bogotá,La Bodega del Chiste,220,2026-08-12 20:30:00,miércoles,true,true
ft_evt_0024,Doble Sentido — residencia jueves,ft_art_003,Doble Sentido,Medellín,La Pascasia,120,2026-08-13 20:00:00,jueves,true,true
ft_evt_0007,Mala Hora — residencia viernes,ft_art_001,Mala Hora,Bogotá,Casa E,180,2026-08-14 20:30:00,viernes,true,true
ft_evt_0042,Trasnoche Cali — residencia sábado,ft_art_005,Trasnoche Cali,Cali,Sala Beethoven,250,2026-08-15 20:30:00,sábado,true,true
ft_evt_0016,Micrófono Suelto — residencia martes,ft_art_002,Micrófono Suelto,Bogotá,Ace of Clubs,220,2026-08-18 20:30:00,martes,true,true
ft_evt_0034,La Bodega Improvisa — residencia miércoles,ft_art_004,La Bodega Improvisa,Bogotá,La Bodega del Chiste,120,2026-08-19 20:30:00,miércoles,true,true
ft_evt_0062,Comedia de Barrio — Material Nuevo,ft_art_011,Comedia de Barrio,Bucaramanga,Teatro Corfescu,250,2026-08-20 20:00:00,jueves,false,true
ft_evt_0025,Doble Sentido — residencia jueves,ft_art_003,Doble Sentido,Medellín,La Pascasia,120,2026-08-20 20:30:00,jueves,true,true
ft_evt_0008,Mala Hora — residencia viernes,ft_art_001,Mala Hora,Bogotá,Casa E,120,2026-08-21 20:30:00,viernes,true,true
ft_evt_0043,Trasnoche Cali — residencia sábado,ft_art_005,Trasnoche Cali,Cali,Sala Beethoven,180,2026-08-22 20:30:00,sábado,true,true
ft_evt_0017,Micrófono Suelto — residencia martes,ft_art_002,Micrófono Suelto,Bogotá,Ace of Clubs,250,2026-08-25 20:30:00,martes,true,true
ft_evt_0035,La Bodega Improvisa — residencia miércoles,ft_art_004,La Bodega Improvisa,Bogotá,La Bodega del Chiste,150,2026-08-26 20:30:00,miércoles,true,true
ft_evt_0026,Doble Sentido — residencia jueves,ft_art_003,Doble Sentido,Medellín,La Pascasia,180,2026-08-27 20:00:00,jueves,true,true
ft_evt_0048,Cuento Corto — Comedia sin Red,ft_art_007,Cuento Corto,Medellín,La Pascasia,250,2026-08-27 21:30:00,jueves,false,true
ft_evt_0009,Mala Hora — residencia viernes,ft_art_001,Mala Hora,Bogotá,Casa E,180,2026-08-28 20:30:00,viernes,true,true
ft_evt_0044,Trasnoche Cali — residencia sábado,ft_art_005,Trasnoche Cali,Cali,Sala Beethoven,150,2026-08-29 20:00:00,sábado,true,true
ft_evt_0058,Sin Filtro — Cierre de Gira,ft_art_006,Sin Filtro,Bogotá,Casa E,600,2026-08-31 21:30:00,lunes,false,true
